日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-16,600930,5.5,7.18,10.17,5.5,17970995,12702393309.0,146.86,125.79,4.0,71.74
2025-07-17,600930,6.44,6.52,6.99,6.34,10887393,7166192014.0,9.05,-9.19,-0.66,43.46
2025-07-18,600930,6.49,6.65,6.83,6.2,8038961,5302733781.0,9.66,1.99,0.13,32.09
2025-07-21,600930,6.81,7.56,7.8,6.6,12291357,8853885885.0,18.05,13.68,0.91,49.06
2025-07-22,600930,7.7,7.73,7.98,7.2,11783117,8891697068.0,10.32,2.25,0.17,47.04
2025-07-23,600930,7.53,7.55,7.95,7.31,9303266,7068274329.0,8.28,-2.33,-0.18,37.14
