日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-11-27,300910,39.13,49.66,49.66,38.55,265240,2374082320.0,97.71,336.76,38.29,74.58
2020-11-30,300910,51.24,50.71,53.39,48.06,178813,1878701584.0,10.73,2.11,1.05,50.28
2020-12-01,300910,49.66,52.06,52.55,48.59,127867,1333517440.0,7.81,2.66,1.35,35.95
2020-12-02,300910,51.76,44.92,52.75,44.52,154670,1555983264.0,15.81,-13.71,-7.14,43.49
2020-12-03,300910,42.92,41.72,44.18,41.53,110351,993531424.0,5.9,-7.12,-3.2,31.03
2020-12-04,300910,41.59,41.24,42.78,40.71,71673,629790544.0,4.96,-1.15,-0.48,20.15
2020-12-07,300910,40.72,42.26,42.78,40.46,65909,575445952.0,5.63,2.47,1.02,18.53
2020-12-08,300910,41.66,43.23,44.84,41.17,87732,798168736.0,8.68,2.3,0.97,24.67
2020-12-09,300910,42.53,40.07,43.45,39.93,63381,558615728.0,8.14,-7.31,-3.16,17.82
2020-12-10,300910,39.65,38.24,40.61,37.88,58039,483149280.0,6.81,-4.57,-1.83,16.32
2020-12-11,300910,38.14,35.32,38.81,34.67,72347,562355344.0,10.83,-7.64,-2.92,20.34
2020-12-14,300910,35.05,35.68,36.63,34.45,47863,364677856.0,6.17,1.02,0.36,13.46
2020-12-15,300910,36.47,35.05,36.47,34.54,41564,313742816.0,5.41,-1.77,-0.63,11.69
2020-12-16,300910,34.68,33.61,34.91,33.18,43414,317338000.0,4.94,-4.11,-1.44,12.21
2020-12-17,300910,33.76,33.85,34.22,32.46,51142,369664080.0,5.24,0.71,0.24,14.38
2020-12-18,300910,33.34,32.5,33.6,31.93,51458,363614944.0,4.93,-3.99,-1.35,14.47
2020-12-21,300910,32.03,32.24,32.34,31.46,41985,291031312.0,2.71,-0.8,-0.26,11.8
2020-12-22,300910,31.76,30.71,32.91,30.71,51359,357334736.0,6.82,-4.75,-1.53,14.44
2020-12-23,300910,30.28,29.37,30.66,29.04,50643,330294432.0,5.28,-4.36,-1.34,14.24
2020-12-24,300910,29.13,30.29,30.83,29.0,64866,425933168.0,6.23,3.13,0.92,18.24
2020-12-25,300910,30.01,31.91,32.66,29.72,62270,425364384.0,9.71,5.35,1.62,17.51
2020-12-28,300910,31.37,32.13,32.73,31.08,39246,272680816.0,5.17,0.69,0.22,11.03
2020-12-29,300910,31.74,28.08,32.01,28.08,51664,338877440.0,12.23,-12.61,-4.05,14.53
2020-12-30,300910,27.57,28.68,29.06,27.03,59310,366771056.0,7.23,2.14,0.6,16.68
2020-12-31,300910,28.37,28.87,29.07,28.29,31575,199494367.0,2.72,0.66,0.19,8.88
2021-01-04,300910,29.08,35.45,35.45,28.61,101772,723202192.0,23.69,22.79,6.58,28.61
2021-01-05,300910,34.39,33.24,34.85,32.33,64932,470061536.0,7.11,-6.23,-2.21,18.26
2021-01-06,300910,33.03,33.52,34.13,31.87,42559,303798384.0,6.8,0.84,0.28,11.97
2021-01-07,300910,33.08,36.1,37.16,32.82,108663,820258560.0,12.95,7.7,2.58,30.55
2021-01-08,300910,37.24,37.38,39.02,36.74,115937,930588432.0,6.32,3.55,1.28,32.6
2021-01-11,300910,35.56,33.07,35.91,32.82,75778,556440992.0,8.27,-11.53,-4.31,21.31
2021-01-12,300910,32.35,32.71,33.86,32.22,44515,316499376.0,4.96,-1.09,-0.36,12.52
2021-01-13,300910,32.57,30.58,32.57,29.35,56887,382049520.0,9.84,-6.51,-2.13,15.99
2021-01-14,300910,30.18,31.59,32.29,29.5,44421,303116128.0,9.12,3.3,1.01,12.49
2021-01-15,300910,31.24,31.55,33.97,30.97,55670,390964672.0,9.5,-0.13,-0.04,15.65
2021-01-18,300910,31.66,32.97,33.48,31.62,45990,324190304.0,5.9,4.5,1.42,12.93
2021-01-19,300910,33.24,32.61,34.65,32.39,44589,322806160.0,6.85,-1.09,-0.36,12.54
2021-01-20,300910,32.32,31.98,32.92,30.83,48488,333823984.0,6.41,-1.93,-0.63,13.63
