日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2020-08-24,300870,73.21,83.21,95.86,64.47,130070,993468032.0,89.63,137.61,48.19,54.21
2020-08-25,300870,80.33,97.71,102.53,80.33,142903,1308726758.0,26.68,17.43,14.5,59.55
2020-08-26,300870,90.22,83.71,96.2,83.21,101718,916953624.0,13.29,-14.33,-14.0,42.39
2020-08-27,300870,84.26,89.01,90.71,75.51,120395,1041935168.0,18.16,6.33,5.3,50.17
2020-08-28,300870,86.0,94.52,102.02,78.32,147469,1370580358.0,26.63,6.19,5.51,61.46
2020-08-31,300870,91.71,94.31,95.84,84.81,125593,1153272544.0,11.67,-0.22,-0.21,52.34
2020-09-01,300870,90.71,78.49,90.71,78.41,105931,924574700.0,13.04,-16.77,-15.82,44.15
2020-09-02,300870,77.01,78.83,80.83,76.22,72094,580101074.0,5.87,0.43,0.34,30.05
2020-09-03,300870,77.37,76.21,81.07,76.21,56710,454282000.0,6.17,-3.32,-2.62,23.63
2020-09-04,300870,74.66,78.92,82.04,73.71,70747,560760275.0,10.93,3.56,2.71,29.48
2020-09-07,300870,78.21,78.4,83.36,76.21,66851,543442377.0,9.06,-0.66,-0.52,27.86
2020-09-08,300870,78.96,78.22,83.09,76.74,64920,530443677.0,8.1,-0.23,-0.18,27.06
2020-09-09,300870,75.2,73.24,77.19,71.79,57620,438498385.0,6.9,-6.37,-4.98,24.01
2020-09-10,300870,73.61,69.21,74.96,68.72,38856,288062104.0,8.52,-5.5,-4.03,16.19
2020-09-11,300870,69.01,78.21,79.55,68.71,59164,452810352.0,15.66,13.0,9.0,24.66
2020-09-14,300870,77.31,81.34,83.11,77.31,47553,388660561.0,7.42,4.0,3.13,19.82
2020-09-15,300870,80.21,80.21,84.71,77.21,50322,418033648.0,9.22,-1.39,-1.13,20.97
2020-09-16,300870,80.09,96.61,96.61,78.31,59708,543807184.0,22.82,20.45,16.4,24.88
2020-09-17,300870,106.36,92.92,112.21,92.22,123456,1301847590.0,20.69,-3.82,-3.69,51.45
2020-09-18,300870,90.21,89.26,98.09,88.57,73411,689579862.0,10.25,-3.94,-3.66,30.59
2020-09-21,300870,88.13,88.76,91.65,86.46,56696,509244552.0,5.81,-0.56,-0.5,23.63
2020-09-22,300870,86.62,85.55,88.51,84.41,42404,370415440.0,4.62,-3.62,-3.21,17.67
2020-09-23,300870,86.41,87.27,88.11,85.46,39692,352126714.0,3.1,2.01,1.72,16.54
2020-09-24,300870,85.99,87.31,89.01,83.39,48158,423027196.0,6.44,0.05,0.04,20.07
2020-09-25,300870,87.11,79.39,88.21,79.39,45887,391232110.0,10.1,-9.07,-7.92,19.12
2020-09-28,300870,79.26,77.19,81.14,76.57,26777,216037541.0,5.76,-2.77,-2.2,11.16
2020-09-29,300870,77.2,78.14,79.64,77.2,21898,175530032.0,3.16,1.23,0.95,9.13
