日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-07-10,301630,180.0,191.56,233.98,171.89,83972,1623596142.0,73.92,128.05,107.56,83.97
2025-07-11,301630,184.0,203.04,237.9,178.1,76794,1524876771.0,31.22,5.99,11.48,76.79
2025-07-14,301630,195.0,177.66,197.9,177.0,54090,1000780043.0,10.29,-12.5,-25.38,54.09
2025-07-15,301630,172.2,172.69,184.5,172.19,43305,773041569.0,6.93,-2.8,-4.97,43.31
2025-07-16,301630,166.66,161.58,175.89,161.22,45222,748292555.0,8.49,-6.43,-11.11,45.22
2025-07-17,301630,161.85,163.65,168.8,157.01,36291,593784788.0,7.3,1.28,2.07,36.29
2025-07-18,301630,166.01,172.19,177.0,166.01,45420,780931773.0,6.72,5.22,8.54,45.42
2025-07-21,301630,170.0,172.2,175.14,166.6,31847,547052713.0,4.96,0.01,0.01,31.85
2025-07-22,301630,170.0,171.58,180.05,170.0,30907,540786805.0,5.84,-0.36,-0.62,30.91
2025-07-23,301630,169.26,165.01,171.56,164.12,26620,443975704.0,4.34,-3.83,-6.57,26.62
2025-07-24,301630,165.0,169.03,173.52,164.6,23935,406206849.0,5.41,2.44,4.02,23.93
2025-07-25,301630,168.01,165.26,168.99,164.15,18925,313745765.0,2.86,-2.23,-3.77,18.92
2025-07-28,301630,165.89,175.49,178.33,164.9,31494,541571012.0,8.13,6.19,10.23,31.49
2025-07-29,301630,173.0,175.47,177.0,171.36,23250,404611082.0,3.21,-0.01,-0.02,23.25
2025-07-30,301630,174.77,173.79,175.94,169.52,17917,308958481.0,3.66,-0.96,-1.68,17.92
2025-07-31,301630,174.01,175.37,184.35,173.43,32123,571675817.0,6.28,0.91,1.58,32.12
2025-08-01,301630,172.53,172.09,176.88,170.01,17367,300204199.0,3.92,-1.87,-3.28,17.37
2025-08-04,301630,170.52,172.38,176.7,170.02,12616,218047683.0,3.88,0.17,0.29,12.62
2025-08-05,301630,173.51,175.87,178.0,171.6,17545,306139144.0,3.71,2.02,3.49,17.54
2025-08-06,301630,175.0,184.63,188.88,174.1,29990,547521086.0,8.4,4.98,8.76,29.99
2025-08-07,301630,182.79,182.26,187.99,181.23,22193,407543755.0,3.66,-1.28,-2.37,22.19
2025-08-08,301630,181.92,175.47,182.0,175.36,18961,336759726.0,3.64,-3.73,-6.79,18.96
2025-08-11,301630,175.52,177.21,178.97,175.18,14564,257244632.0,2.16,0.99,1.74,14.56
2025-08-12,301630,176.0,178.35,181.0,173.23,19276,339973375.0,4.38,0.64,1.14,19.28
2025-08-13,301630,176.69,179.63,182.7,176.69,20225,362141281.0,3.37,0.72,1.28,20.23
2025-08-14,301630,180.0,177.68,182.5,174.51,21178,375951351.0,4.45,-1.09,-1.95,21.18
2025-08-15,301630,175.6,198.71,203.83,175.6,39077,742424819.0,15.89,11.84,21.03,39.08
2025-08-18,301630,204.02,214.84,226.6,201.8,42380,896541830.24,12.48,8.12,16.13,42.38
