日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-11-18,920160,30.88,26.5,31.8,26.2,225469,660378475.4,83.58,295.52,19.8,88.46
2025-11-19,920160,28.0,27.42,28.88,26.58,138945,386264633.57,8.68,3.47,0.92,54.51
2025-11-20,920160,26.28,25.75,27.42,25.66,91526,240610038.23,6.42,-6.09,-1.67,35.91
2025-11-21,920160,25.18,26.1,27.35,25.12,100680,264028328.98,8.66,1.36,0.35,39.5
2025-11-24,920160,25.48,24.34,25.58,24.01,73593,180405727.81,6.02,-6.74,-1.76,28.87
2025-11-25,920160,24.3,24.89,25.62,24.21,62205,155990271.53,5.79,2.26,0.55,24.41
2025-11-26,920160,24.88,24.99,26.05,24.69,48707,123493996.57,5.46,0.4,0.1,19.11
2025-11-27,920160,24.72,25.3,26.2,24.51,47563,120871248.96,6.76,1.24,0.31,18.66
2025-11-28,920160,25.2,24.43,25.6,24.25,48684,120488258.57,5.34,-3.44,-0.87,19.1
