日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-29,001390,30.0,32.0,39.0,29.01,391031,1278978750.15,82.7,164.9,19.92,79.8
2025-05-30,001390,30.33,27.02,31.5,27.0,307395,882437223.98,14.06,-15.56,-4.98,62.74
2025-06-03,001390,26.0,25.65,26.88,25.44,208787,540981897.09,5.33,-5.07,-1.37,42.61
2025-06-04,001390,25.6,24.97,25.89,24.64,184977,464462956.75,4.87,-2.65,-0.68,37.75
2025-06-05,001390,24.6,23.61,24.65,23.55,180699,432956371.43,4.41,-5.45,-1.36,36.88
2025-06-06,001390,23.68,23.08,23.79,22.97,118298,274495276.56,3.47,-2.24,-0.53,24.14
2025-06-09,001390,23.25,23.52,23.68,23.08,106849,250052273.89,2.6,1.91,0.44,21.81
2025-06-10,001390,23.35,22.99,23.37,22.7,93831,216529956.44,2.85,-2.25,-0.53,19.15
