日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-06-05,301590,150.01,151.1,178.88,150.01,64942,1022018048.0,32.22,68.64,61.5,79.54
2025-06-06,301590,152.0,157.74,162.36,145.1,46940,730721035.0,11.42,4.39,6.64,57.49
2025-06-09,301590,155.2,157.5,166.43,150.2,41496,657813159.0,10.29,-0.15,-0.24,50.82
2025-06-10,301590,154.97,161.8,165.58,149.06,39745,618590340.0,10.49,2.73,4.3,48.68
2025-06-11,301590,160.0,163.0,169.0,158.15,33119,538308169.0,6.71,0.74,1.2,40.56
2025-06-12,301590,164.49,157.95,164.5,155.77,27028,429670997.0,5.36,-3.1,-5.05,33.1
2025-06-13,301590,158.23,164.5,175.31,157.88,35791,596262813.0,11.04,4.15,6.55,43.84
2025-06-16,301590,167.0,168.5,171.0,161.56,31434,519165397.0,5.74,2.43,4.0,38.5
2025-06-17,301590,166.19,161.78,167.0,159.69,23534,383332217.0,4.34,-3.99,-6.72,28.83
2025-06-18,301590,160.0,155.98,160.93,155.65,18165,286344712.0,3.26,-3.59,-5.8,22.25
2025-06-19,301590,156.0,155.68,161.65,155.51,17423,275139732.0,3.94,-0.19,-0.3,21.34
2025-06-20,301590,153.76,150.38,156.0,150.29,15366,233979558.0,3.67,-3.4,-5.3,18.82
2025-06-23,301590,149.04,150.54,151.88,147.4,9082,136248920.63,2.98,0.11,0.16,11.12
