日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-04-16,002390,5.48,4.84,5.48,4.68,117636,631936554.52,27.78,68.06,1.96,67.76
2010-04-19,002390,4.59,4.32,4.64,4.32,53967,259785448.56,6.61,-10.74,-0.52,31.09
2010-04-20,002390,4.34,4.12,4.37,3.88,34139,154033380.42,11.34,-4.63,-0.2,19.67
2010-04-21,002390,4.08,4.49,4.57,4.06,42100,201050988.43,12.38,8.98,0.37,24.25
2010-04-22,002390,4.46,4.7,4.8,4.43,44176,225236268.02,8.24,4.68,0.21,25.45
2010-04-23,002390,4.75,4.59,4.83,4.57,36358,185336781.9,5.53,-2.34,-0.11,20.94
2010-04-26,002390,4.59,4.89,4.93,4.36,36819,188948896.17,12.42,6.54,0.3,21.21
2010-04-27,002390,4.85,4.97,5.01,4.58,46845,247559984.4,8.79,1.64,0.08,26.98
2010-04-28,002390,4.98,4.88,5.28,4.78,42360,231541675.39,10.06,-1.81,-0.09,24.4
2010-04-29,002390,4.78,4.5,5.01,4.43,26775,138774148.58,11.89,-7.79,-0.38,15.42
2010-04-30,002390,4.44,4.19,4.46,4.11,21692,101739189.26,7.78,-6.89,-0.31,12.5
2010-05-04,002390,4.12,4.48,4.53,4.01,22253,106274125.64,12.41,6.92,0.29,12.82
2010-05-05,002390,4.38,4.59,4.65,4.33,20940,104144556.83,7.14,2.46,0.11,12.06
2010-05-06,002390,4.58,4.45,4.67,4.43,15331,75650410.08,5.23,-3.05,-0.14,8.83
2010-05-07,002390,4.42,4.59,4.7,4.29,25941,129731092.67,9.21,3.15,0.14,14.94
2010-05-10,002390,4.53,4.12,4.63,4.09,22484,105163455.29,11.76,-10.24,-0.47,12.95
2010-05-11,002390,4.17,3.88,4.23,3.86,14115,62625268.73,8.98,-5.83,-0.24,8.13
2010-05-12,002390,3.71,3.58,3.9,3.49,12603,51296905.21,10.57,-7.73,-0.3,7.26
2010-05-13,002390,3.54,3.76,3.79,3.5,12015,48946791.16,8.1,5.03,0.18,6.92
2010-05-14,002390,3.73,3.76,3.85,3.64,10250,42786855.58,5.59,0.0,0.0,5.9
2010-05-17,002390,3.68,3.48,3.76,3.48,9169,36911703.1,7.45,-7.45,-0.28,5.28
2010-05-18,002390,3.49,3.46,3.53,3.26,13774,52219525.56,7.76,-0.57,-0.02,7.93
2010-05-19,002390,3.4,3.58,3.61,3.32,14074,55531332.76,8.38,3.47,0.12,8.11
2010-05-20,002390,3.53,3.53,3.62,3.48,12154,48448604.38,3.91,-1.4,-0.05,7.0
2010-05-21,002390,3.34,3.61,3.62,3.34,10038,39795658.77,7.93,2.27,0.08,5.78
2010-05-24,002390,3.63,3.77,3.8,3.59,15824,65473269.61,5.82,4.43,0.16,9.12
