日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-10-10,920080,36.11,37.11,39.89,35.3,180809,667527413.6,55.64,349.82,28.86,79.79
2025-10-13,920080,33.5,34.1,35.94,32.6,95227,322642073.06,9.0,-8.11,-3.01,42.02
2025-10-14,920080,33.4,31.7,33.9,31.36,82353,267517875.28,7.45,-7.04,-2.4,36.34
2025-10-15,920080,31.6,30.6,31.7,30.32,45074,138068884.51,4.35,-3.47,-1.1,19.89
2025-10-16,920080,30.8,30.24,31.16,30.13,36558,111806201.04,3.37,-1.18,-0.36,16.13
2025-10-17,920080,30.22,30.39,30.97,29.75,35963,109538839.19,4.03,0.5,0.15,15.87
2025-10-20,920080,30.59,29.72,30.74,29.66,27480,82512405.51,3.55,-2.2,-0.67,12.13
2025-10-21,920080,29.65,30.16,30.3,29.65,25629,76964281.43,2.19,1.48,0.44,11.31
2025-10-22,920080,30.11,30.42,31.49,29.8,37094,113819896.12,5.6,0.86,0.26,16.37
2025-10-23,920080,30.2,31.66,31.96,29.9,46842,145720414.67,6.77,4.08,1.24,20.67
2025-10-24,920080,31.39,31.28,32.65,30.8,45911,144923156.02,5.84,-1.2,-0.38,20.26
2025-10-27,920080,30.85,30.59,31.11,30.48,30933,94871327.96,2.01,-2.21,-0.69,13.65
2025-10-28,920080,30.47,30.0,30.47,29.86,25443,76444166.22,1.99,-1.93,-0.59,11.23
2025-10-29,920080,29.96,31.85,32.22,29.68,46099,142743352.05,8.47,6.17,1.85,20.34
2025-10-30,920080,31.95,31.7,33.33,31.43,75000,241785916.03,5.97,-0.47,-0.15,33.1
2025-10-31,920080,31.11,31.05,32.45,30.91,48578,152757505.47,4.86,-2.05,-0.65,21.44
2025-11-03,920080,30.77,30.91,31.35,30.65,17349,53600210.61,2.25,-0.45,-0.14,7.66
2025-11-04,920080,30.87,30.28,30.94,30.0,19746,59760719.08,3.04,-2.04,-0.63,8.71
2025-11-05,920080,30.02,30.65,30.83,29.9,16780,51096137.64,3.07,1.22,0.37,7.41
2025-11-06,920080,30.42,30.38,30.71,30.1,13119,39844964.82,1.99,-0.88,-0.27,5.79
2025-11-07,920080,30.18,30.12,30.58,30.08,11530,34918073.31,1.65,-0.86,-0.26,5.09
2025-11-10,920080,30.15,30.29,30.54,30.07,10508,31783134.41,1.56,0.56,0.17,4.64
2025-11-11,920080,30.38,29.95,30.47,29.82,13128,39455946.83,2.15,-1.12,-0.34,5.79
2025-11-12,920080,30.09,30.16,30.17,29.81,8574,25708765.82,1.2,0.7,0.21,3.78
2025-11-13,920080,30.15,30.43,30.58,29.94,14377,43583310.55,2.12,0.9,0.27,6.34
2025-11-14,920080,30.25,29.96,30.5,29.94,12674,38247057.86,1.84,-1.54,-0.47,5.59
2025-11-17,920080,29.95,29.12,30.0,28.91,21423,62637102.22,3.64,-2.8,-0.84,9.45
2025-11-18,920080,29.1,28.38,29.1,28.29,12592,35892908.86,2.78,-2.54,-0.74,5.56
2025-11-19,920080,28.29,28.0,28.47,27.72,9690,27133108.45,2.64,-1.34,-0.38,4.28
2025-11-20,920080,28.01,27.63,28.24,27.61,7899,21967446.58,2.25,-1.32,-0.37,3.49
2025-11-21,920080,27.6,28.07,28.88,27.17,23072,64751108.91,6.19,1.59,0.44,10.18
2025-11-24,920080,27.7,27.63,27.85,27.29,13556,37311852.21,2.0,-1.57,-0.44,5.98
2025-11-25,920080,27.78,28.1,28.47,27.5,12080,34069281.73,3.51,1.7,0.47,5.33
2025-11-26,920080,28.02,27.76,28.4,27.62,8533,23896547.04,2.78,-1.21,-0.34,3.77
2025-11-27,920080,27.51,27.47,27.99,27.45,7019,19407819.16,1.95,-1.04,-0.29,3.1
2025-11-28,920080,27.57,27.64,27.95,27.17,8759,24104641.92,2.84,0.62,0.17,3.87
