日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2021-08-24,301050,106.87,111.69,115.97,100.88,137940,3745148720.0,64.74,379.15,88.38,74.91
2021-08-25,301050,114.05,114.01,118.36,109.86,76165,2194427840.0,7.61,2.08,2.32,41.36
2021-08-26,301050,113.61,104.86,115.94,102.68,61045,1668652784.0,11.63,-8.03,-9.15,33.15
2021-08-27,301050,102.88,107.39,112.06,102.28,45945,1251092464.0,9.33,2.41,2.53,24.95
2021-08-30,301050,104.47,115.88,117.64,101.88,43358,1223512416.0,14.68,7.91,8.49,23.55
2021-08-31,301050,114.38,109.5,117.0,107.71,30681,867866448.0,8.02,-5.51,-6.38,16.66
2021-09-01,301050,110.82,110.46,115.24,104.52,30056,833938496.0,9.79,0.88,0.96,16.32
2021-09-02,301050,110.53,117.4,121.83,108.86,27508,798325216.0,11.74,6.28,6.94,14.94
2021-09-03,301050,116.76,111.25,120.07,108.92,21967,631687520.0,9.5,-5.24,-6.15,11.93
2021-09-06,301050,109.21,111.34,113.16,108.47,13909,389711024.0,4.22,0.08,0.09,7.55
2021-09-07,301050,110.13,107.99,112.01,106.91,15793,434104400.0,4.58,-3.01,-3.35,8.58
2021-09-08,301050,106.49,107.94,108.46,104.07,14423,388131344.0,4.07,-0.05,-0.05,7.83
2021-09-09,301050,106.94,101.68,107.61,98.89,21764,564442080.0,8.08,-5.8,-6.26,11.82
2021-09-10,301050,100.89,100.89,102.71,98.49,13057,332773584.0,4.15,-0.78,-0.79,7.09
2021-09-13,301050,99.74,96.5,100.8,95.89,12103,298355360.0,4.87,-4.35,-4.39,6.57
2021-09-14,301050,96.7,97.64,100.48,95.3,11611,288900176.0,5.37,1.18,1.14,6.31
2021-09-15,301050,96.85,100.19,100.47,95.1,9509,237084541.0,5.5,2.61,2.55,5.16
2021-09-16,301050,99.89,95.4,100.08,95.29,7873,194169674.0,4.78,-4.78,-4.79,4.28
2021-09-17,301050,95.1,96.19,101.18,95.1,13798,342968064.0,6.37,0.83,0.79,7.49
2021-09-22,301050,95.68,94.89,96.87,90.18,11817,279082896.0,6.95,-1.35,-1.3,6.42
2021-09-23,301050,93.96,91.58,95.29,91.56,7997,187960186.0,3.93,-3.49,-3.31,4.34
2021-09-24,301050,91.61,90.64,93.65,90.6,5993,139595785.0,3.33,-1.03,-0.94,3.25
2021-09-27,301050,88.91,84.78,90.64,80.13,12959,280299152.0,11.6,-6.47,-5.86,7.04
2021-09-28,301050,84.48,92.1,94.1,82.28,14615,326270448.0,13.94,8.63,7.32,7.94
2021-09-29,301050,90.5,88.34,92.8,87.59,8977,204967739.0,5.66,-4.08,-3.76,4.88
2021-09-30,301050,87.73,88.65,90.11,87.73,6523,146340567.0,2.69,0.35,0.31,3.54
2021-10-08,301050,88.65,85.6,89.3,83.27,6977,151364112.0,6.8,-3.44,-3.05,3.79
2021-10-11,301050,85.07,90.64,92.7,84.94,9355,211794847.0,9.07,5.89,5.04,5.08
2021-10-12,301050,88.92,87.31,91.57,85.83,7459,166229924.0,6.33,-3.67,-3.33,4.05
2021-10-13,301050,86.91,89.67,91.1,86.12,5387,121236373.0,5.7,2.7,2.36,2.93
2021-10-14,301050,88.9,94.32,96.04,88.71,8377,198279301.0,8.17,5.19,4.65,4.55
2021-10-15,301050,94.1,95.6,96.09,92.27,6799,162641379.0,4.05,1.36,1.28,3.69
2021-10-18,301050,95.69,93.3,96.49,91.97,8592,203737787.0,4.73,-2.41,-2.3,4.67
2021-10-19,301050,92.1,92.12,93.68,91.3,4810,111938295.0,2.55,-1.26,-1.18,2.61
2021-10-20,301050,91.31,94.74,96.13,91.31,6637,158874647.0,5.23,2.84,2.62,3.6
2021-10-21,301050,94.1,93.97,95.46,91.7,7360,174251523.0,3.97,-0.81,-0.77,4.0
2021-10-22,301050,93.69,96.75,98.89,93.69,7691,188854493.0,5.53,2.96,2.78,4.18
2021-10-25,301050,96.87,97.61,100.27,95.73,5183,128342300.0,4.69,0.89,0.86,2.81
2021-10-26,301050,97.49,93.98,97.82,92.24,8175,195970403.0,5.72,-3.72,-3.63,4.44
2021-10-27,301050,96.89,96.61,104.47,96.61,12382,313947728.0,8.36,2.8,2.63,6.72
2021-10-28,301050,95.34,99.16,103.87,95.34,11954,303111616.0,8.83,2.64,2.55,6.49
2021-10-29,301050,98.93,103.28,104.87,97.69,10190,263677104.0,7.24,4.15,4.12,5.53
2021-11-01,301050,104.16,102.8,106.36,102.1,6915,181403672.0,4.12,-0.46,-0.48,3.76
2021-11-02,301050,104.07,102.08,106.47,100.8,10265,269442768.0,5.52,-0.7,-0.72,5.57
2021-11-03,301050,101.3,99.88,102.84,97.75,10164,256405255.0,4.99,-2.16,-2.2,5.52
2021-11-04,301050,100.48,100.88,102.96,99.89,7846,200772935.0,3.07,1.0,1.0,4.26
2021-11-05,301050,102.88,99.2,102.88,98.29,7730,195746384.0,4.55,-1.67,-1.68,4.2
2021-11-08,301050,98.09,98.09,99.68,97.65,4966,123737767.0,2.05,-1.12,-1.11,2.7
2021-11-09,301050,97.89,103.75,104.87,96.91,11333,289956032.0,8.11,5.77,5.66,6.15
2021-11-10,301050,104.87,104.87,107.66,102.4,10150,269967328.0,5.07,1.08,1.12,5.51
2021-11-11,301050,104.03,103.18,104.83,102.28,7018,182676778.0,2.43,-1.61,-1.69,3.81
2021-11-12,301050,102.63,105.77,106.35,102.51,6653,176530322.0,3.72,2.51,2.59,3.61
2021-11-15,301050,105.9,104.43,108.64,104.3,8298,222583138.0,4.1,-1.27,-1.34,4.51
2021-11-16,301050,103.29,101.68,105.82,101.58,6410,167643722.0,4.06,-2.63,-2.75,3.48
2021-11-17,301050,101.29,103.8,103.8,100.51,5257,135719619.0,3.24,2.08,2.12,2.86
2021-11-18,301050,103.8,105.99,106.67,101.87,6237,165222944.0,4.62,2.11,2.19,3.39
2021-11-19,301050,104.87,114.05,116.77,104.47,15987,450841120.0,11.6,7.6,8.06,8.68
2021-11-22,301050,114.08,113.77,114.84,112.45,10279,295100816.0,2.1,-0.25,-0.28,5.58
2021-11-23,301050,114.05,110.31,114.81,109.9,9492,266670756.0,4.32,-3.04,-3.46,5.15
2021-11-24,301050,110.1,110.53,112.44,108.81,5909,164606921.0,3.29,0.2,0.22,3.21
2021-11-25,301050,110.5,110.31,111.59,109.13,4191,116406620.0,2.23,-0.2,-0.22,2.28
2021-11-26,301050,110.52,110.05,112.73,109.22,5424,151753183.0,3.18,-0.24,-0.26,2.95
2021-11-29,301050,108.7,112.06,112.85,108.54,5745,161287975.0,3.92,1.83,2.01,3.12
2021-11-30,301050,111.48,106.98,116.29,106.47,13983,390644288.0,8.76,-4.53,-5.08,7.59
2021-12-01,301050,107.27,105.55,108.06,104.9,8197,219574288.0,2.95,-1.34,-1.43,4.45
2021-12-02,301050,105.34,100.83,106.56,100.44,10415,270372416.0,5.8,-4.47,-4.72,5.66
2021-12-03,301050,100.88,102.23,103.08,100.88,4575,118083701.0,2.18,1.39,1.4,2.48
2021-12-06,301050,102.11,98.14,102.48,97.72,10186,256432394.0,4.66,-4.0,-4.09,5.53
2021-12-07,301050,98.84,94.05,99.79,92.82,11517,276433152.0,7.1,-4.17,-4.09,6.25
2021-12-08,301050,94.89,96.05,97.09,94.44,6212,150787137.0,2.82,2.13,2.0,3.37
2021-12-09,301050,96.26,96.97,97.48,95.01,5140,125359763.0,2.57,0.96,0.92,2.79
2021-12-10,301050,96.69,96.62,97.37,95.41,3667,89595266.0,2.02,-0.36,-0.35,1.99
2021-12-13,301050,97.24,97.98,99.12,94.5,5609,137556431.0,4.78,1.41,1.36,3.05
2021-12-14,301050,97.33,98.43,99.99,97.0,4144,103295510.0,3.05,0.46,0.45,2.25
2021-12-15,301050,98.31,93.45,98.34,93.38,8860,213454094.0,5.04,-5.06,-4.98,4.81
2021-12-16,301050,93.7,94.3,94.61,92.42,5965,141362028.0,2.34,0.91,0.85,3.24
2021-12-17,301050,94.24,91.27,94.24,90.37,8325,191787453.0,4.1,-3.21,-3.03,4.52
2021-12-20,301050,90.9,91.27,92.74,89.95,4430,102980281.0,3.06,0.0,0.0,2.41
2021-12-21,301050,92.22,92.37,93.03,90.76,2825,65744877.0,2.49,1.21,1.1,1.53
2021-12-22,301050,92.1,90.86,92.49,90.85,3993,92199287.0,1.78,-1.63,-1.51,2.17
2021-12-23,301050,90.5,93.22,93.28,90.35,4414,103051978.0,3.22,2.6,2.36,2.4
2021-12-24,301050,93.02,91.69,93.25,91.52,3738,86901252.0,1.86,-1.64,-1.53,2.03
2021-12-27,301050,90.98,92.18,93.05,90.98,2720,63495356.0,2.26,0.53,0.49,1.48
2021-12-28,301050,92.18,92.5,93.98,90.99,4560,107006869.0,3.24,0.35,0.32,2.48
2021-12-29,301050,92.85,90.88,93.26,90.85,3971,92067918.0,2.61,-1.75,-1.62,2.16
2021-12-30,301050,90.7,92.97,93.61,88.56,11274,260501394.0,5.56,2.3,2.09,6.12
2021-12-31,301050,93.68,96.41,97.91,92.9,7955,193470091.0,5.39,3.7,3.44,4.25
2022-01-04,301050,96.1,96.25,98.09,94.32,7767,189350136.0,3.91,-0.17,-0.16,4.15
2022-01-05,301050,96.3,91.7,96.89,90.11,7167,167733755.0,7.04,-4.73,-4.55,3.83
2022-01-06,301050,90.82,92.9,93.51,89.89,4281,99757031.0,3.95,1.31,1.2,2.29
2022-01-07,301050,92.12,87.92,93.27,87.91,7529,170626749.0,5.77,-5.36,-4.98,4.02
2022-01-10,301050,87.94,88.51,89.31,86.19,3044,67903412.0,3.55,0.67,0.59,1.63
2022-01-11,301050,88.9,85.46,89.63,84.88,5539,121446424.0,5.37,-3.45,-3.05,2.96
2022-01-12,301050,85.83,87.29,87.5,84.97,3825,83355885.0,2.96,2.14,1.83,2.04
2022-01-13,301050,86.76,83.68,87.27,83.54,5499,118064072.0,4.27,-4.14,-3.61,2.94
2022-01-14,301050,83.3,83.07,84.91,82.5,4748,100375194.0,2.88,-0.73,-0.61,2.54
2022-01-17,301050,83.09,87.31,87.46,83.08,5747,124712019.0,5.27,5.1,4.24,3.07
2022-01-18,301050,87.34,86.42,87.94,85.91,2852,62656320.0,2.33,-1.02,-0.89,1.52
2022-01-19,301050,86.39,83.13,86.48,82.52,4060,86131315.0,4.58,-3.81,-3.29,2.17
2022-01-20,301050,83.15,77.97,83.32,77.97,10309,210026848.0,6.44,-6.21,-5.16,5.51
2022-01-21,301050,78.0,74.94,78.53,74.5,8318,159816956.0,5.17,-3.89,-3.03,4.44
2022-01-24,301050,74.98,77.9,79.73,74.61,4934,96957545.0,6.83,3.95,2.96,2.64
2022-01-25,301050,77.93,77.97,80.72,77.33,5468,109466473.0,4.35,0.09,0.07,2.92
2022-01-26,301050,77.57,78.42,78.74,76.46,3233,63798664.0,2.92,0.58,0.45,1.73
2022-01-27,301050,78.9,75.8,78.9,75.3,4625,90593858.0,4.59,-3.34,-2.62,2.47
2022-01-28,301050,69.09,70.93,71.0,65.39,14974,261634832.0,7.4,-6.42,-4.87,8.0
2022-02-07,301050,70.95,71.46,73.49,69.73,6742,123063613.0,5.3,0.75,0.53,3.6
2022-02-08,301050,70.73,70.57,72.49,68.37,6861,122032289.0,5.77,-1.25,-0.89,3.67
2022-02-09,301050,70.53,69.35,71.28,68.91,5707,101090607.0,3.36,-1.73,-1.22,3.05
2022-02-10,301050,83.4,83.4,83.4,80.05,23176,488100208.0,4.83,20.26,14.05,12.38
2022-02-11,301050,82.52,78.35,82.52,75.57,29258,575803072.0,8.33,-6.06,-5.05,15.63
2022-02-14,301050,76.2,77.69,81.64,76.2,14439,287661776.0,6.94,-0.84,-0.66,7.71
2022-02-15,301050,77.33,79.49,81.03,76.78,12798,255532176.0,5.47,2.32,1.8,6.84
2022-02-16,301050,78.13,76.93,79.33,76.49,12064,238521160.0,3.57,-3.22,-2.56,6.44
2022-02-17,301050,76.73,79.36,79.44,75.5,13034,256626101.0,5.12,3.16,2.43,6.96
2022-02-18,301050,77.81,76.1,77.81,75.72,10016,193790798.0,2.63,-4.11,-3.26,5.35
2022-02-21,301050,74.94,73.02,76.1,72.6,11483,215111760.0,4.6,-4.05,-3.08,6.13
2022-02-22,301050,74.09,71.35,74.09,70.96,9496,173458880.0,4.29,-2.29,-1.67,5.07
2022-02-23,301050,70.95,74.15,75.34,70.55,13899,259061157.0,6.71,3.92,2.8,7.42
2022-02-24,301050,72.32,76.54,78.11,71.91,27037,515968240.0,8.36,3.22,2.39,13.73
2022-02-25,301050,75.73,76.54,77.93,74.14,14738,284173392.0,4.95,0.0,0.0,7.48
2022-02-28,301050,77.31,78.38,79.83,76.14,15237,301694576.0,4.82,2.4,1.84,7.74
2022-03-01,301050,77.73,77.73,79.68,77.02,10256,203079514.0,3.39,-0.83,-0.65,5.21
2022-03-02,301050,77.28,78.16,78.62,76.27,9131,179564645.0,3.02,0.55,0.43,4.64
2022-03-03,301050,78.85,77.49,79.33,76.98,9018,178664768.0,3.01,-0.86,-0.67,4.58
2022-03-04,301050,77.21,76.57,80.52,76.16,9712,192316791.0,5.63,-1.19,-0.92,4.93
2022-03-07,301050,77.31,72.93,78.11,72.19,9376,177485409.0,7.73,-4.75,-3.64,4.76
2022-03-08,301050,73.24,70.95,73.93,69.76,8057,146712248.0,5.72,-2.71,-1.98,4.09
2022-03-09,301050,71.35,66.86,71.71,64.31,10991,189063428.0,10.43,-5.76,-4.09,5.58
2022-03-10,301050,68.89,70.44,72.28,68.89,12639,226701483.0,5.07,5.35,3.58,6.42
2022-03-11,301050,69.35,70.63,71.13,67.36,6785,119485339.0,5.35,0.27,0.19,3.44
2022-03-14,301050,69.8,69.7,72.3,68.18,7326,130326257.0,5.83,-1.32,-0.93,3.72
2022-03-15,301050,67.78,66.93,70.14,66.57,6223,108141475.0,5.12,-3.97,-2.77,3.16
2022-03-16,301050,68.31,67.84,68.54,63.84,9779,165372946.0,7.02,1.36,0.91,4.96
2022-03-17,301050,68.55,69.1,70.36,67.96,8765,154581605.0,3.54,1.86,1.26,4.45
2022-03-18,301050,68.74,65.49,68.75,65.2,11027,186258155.0,5.14,-5.22,-3.61,5.6
2022-03-21,301050,66.5,66.95,68.45,65.76,7356,125336911.0,4.11,2.23,1.46,3.73
2022-03-22,301050,68.43,64.95,68.45,64.75,7358,122532916.0,5.53,-2.99,-2.0,3.74
2022-03-23,301050,64.69,67.19,68.94,63.71,10568,178419590.0,8.05,3.45,2.24,5.37
2022-03-24,301050,66.56,65.72,66.56,65.17,4762,79551598.0,2.07,-2.19,-1.47,2.42
2022-03-25,301050,66.36,64.3,66.88,64.28,5668,94082766.0,3.96,-2.16,-1.42,2.88
2022-03-28,301050,63.53,62.84,63.61,61.29,4898,77742423.0,3.61,-2.27,-1.46,2.49
2022-03-29,301050,62.84,60.11,64.13,59.57,9312,144872492.0,7.26,-4.34,-2.73,4.73
2022-03-30,301050,60.37,61.77,61.91,59.85,7384,114760509.0,3.43,2.76,1.66,3.75
2022-03-31,301050,61.28,59.28,61.63,58.98,7538,114957807.0,4.29,-4.03,-2.49,3.83
2022-04-01,301050,58.98,59.06,59.77,57.96,5167,77433884.0,3.05,-0.37,-0.22,2.62
2022-04-06,301050,58.85,58.57,58.87,57.7,5592,82750488.0,1.98,-0.83,-0.49,2.84
